#https://www.ssa.gov/pubs/EN-05-10070-1953.pdf
#
#Year,MaximumEarnings,IndexFactors
1954,3600,14.22
1955,4200,13.60
1956,4200,12.71
1957,4200,12.33
1958,4200,12.22
1959,4800,11.64
1960,4800,11.20
1961,4800,10.98
1962,4800,10.46
1963,4800,10.21
1964,4800,9.81
1965,4800,9.64
1966,6600,9.09
1967,6600,8.61
1968,7800,8.06
1969,7800,7.62
1970,7800,7.26
1971,7800,6.91
1972,9000,6.29
1973,10800,5.92
1974,13200,5.59
1975,14100,5.20
1976,15300,4.87
1977,16500,4.59
1978,17700,4.25
1979,22900,3.91
1980,25900,3.59
1981,29700,3.26
1982,32400,3.09
1983,35700,2.95
1984,37800,2.78
1985,39600,2.67
1986,42000,2.59
1987,43800,2.44
1988,45000,2.32
1989,48000,2.23
1990,51300,2.13
1991,53400,2.06
1992,55500,1.96
1993,57600,1.94
1994,60600,1.89
1995,61200,1.82
1996,62700,1.73
1997,65400,1.64
1998,68400,1.56
1999,72600,1.47
2000,76200,1.40
2001,80400,1.36
2002,84900,1.35
2003,87000,1.32
2004,87900,1.26
2005,90000,1.21
2006,94200,1.16
2007,97500,1.11
2008,102000,1.09
2009,106800,1.10
2010,106800,1.08
2011,106800,1.04
2012,110100,1.01
2013,113700,1.00
2014,117000,1.00
