#https://www.ssa.gov/pubs/EN-05-10070-1956.pdf
#
#Year,MaximumEarnings,IndexFactors
1957,4200,13.36
1958,4200,13.24
1959,4800,12.62
1960,4800,12.14
1961,4800,11.90
1962,4800,11.33
1963,4800,11.06
1964,4800,10.63
1965,4800,10.44
1966,6600,9.85
1967,6600,9.33
1968,7800,8.73
1969,7800,8.25
1970,7800,7.86
1971,7800,7.49
1972,9000,6.82
1973,10800,6.42
1974,13200,6.06
1975,14100,5.64
1976,15300,5.27
1977,16500,4.97
1978,17700,4.61
1979,22900,4.24
1980,25900,3.89
1981,29700,3.53
1982,32400,3.35
1983,35700,3.19
1984,37800,3.01
1985,39600,2.89
1986,42000,2.81
1987,43800,2.64
1988,45000,2.52
1989,48000,2.42
1990,51300,2.31
1991,53400,2.23
1992,55500,2.12
1993,57600,2.10
1994,60600,2.05
1995,61200,1.97
1996,62700,1.88
1997,65400,1.77
1998,68400,1.69
1999,72600,1.60
2000,76200,1.51
2001,80400,1.48
2002,84900,1.46
2003,87000,1.43
2004,87900,1.36
2005,90000,1.32
2006,94200,1.26
2007,97500,1.20
2008,102000,1.18
2009,106800,1.19
2010,106800,1.17
2011,106800,1.13
2012,110100,1.10
2013,113700,1.08
2014,117000,1.05
2015,118500,1.01
2016,118500,1.00
2017,127200,1.00
