#https://www.ssa.gov/pubs/EN-05-10070-1955.pdf
#
#Year,MaximumEarnings,IndexFactors
1956,4200,13.62
1957,4200,13.21
1958,4200,13.09
1959,4800,12.47
1960,4800,12.00
1961,4800,11.77
1962,4800,11.21
1963,4800,10.94
1964,4800,10.51
1965,4800,10.32
1966,6600,9.74
1967,6600,9.23
1968,7800,8.63
1969,7800,8.16
1970,7800,7.78
1971,7800,7.40
1972,9000,6.74
1973,10800,6.35
1974,13200,5.99
1975,14100,5.57
1976,15300,5.21
1977,16500,4.92
1978,17700,4.56
1979,22900,4.19
1980,25900,3.84
1981,29700,3.49
1982,32400,3.31
1983,35700,3.16
1984,37800,2.98
1985,39600,2.86
1986,42000,2.78
1987,43800,2.61
1988,45000,2.49
1989,48000,2.39
1990,51300,2.29
1991,53400,2.21
1992,55500,2.10
1993,57600,2.08
1994,60600,2.02
1995,61200,1.95
1996,62700,1.86
1997,65400,1.75
1998,68400,1.67
1999,72600,1.58
2000,76200,1.50
2001,80400,1.46
2002,84900,1.45
2003,87000,1.41
2004,87900,1.35
2005,90000,1.30
2006,94200,1.24
2007,97500,1.19
2008,102000,1.16
2009,106800,1.18
2010,106800,1.15
2011,106800,1.12
2012,110100,1.09
2013,113700,1.07
2014,117000,1.03
2015,118500,1.00
2016,118500,1.00
